age,educ,earnings,marry
51,2,1134,1
66,4,700,1
51,1,884.60999,0
55,2,796,0
24,3,450.79999,0
23,3,600,0
25,3,403,0
27,3,384,0
24,3,543.75,0
41,5,780,0
54,5,1153,1
49,3,837,1
43,5,1634.61,1
66,5,1038,1
30,3,865.38,0
66,4,2240,1
56,5,2884.6101,1
57,5,2307.6899,1
25,2,680,0
25,4,1100,0
27,3,307,0
38,3,506,0
48,4,1153,1
28,3,700,0
51,2,1923.0699,1
66,5,1884.61,0
54,2,2423.0701,1
56,3,2057.6899,1
47,4,510,1
55,4,2230.76,1
21,2,520,0
38,3,1500,1
53,4,2000,1
33,5,141.00999,1
28,4,769,0
31,4,1100,0
32,2,900,0
32,4,2884.6101,0
59,4,1326,1
26,2,1500,0
60,2,2278,1
38,2,1500,0
46,5,1923.0699,1
65,4,1884,1
34,3,735,1
34,4,1000,0
46,2,673,0
33,2,1250,0
42,4,1200,1
51,3,1845,1
65,1,550,0
53,5,1923.0699,1
31,4,1153,0
53,5,1009.25,0
53,4,2365,1
62,2,2019,1
33,3,1550,1
53,3,408,0
35,4,900,0
58,5,2346.1499,1
23,5,1634.61,0
62,4,1292.3,0
51,2,1000,0
55,2,720,1
22,2,484,0
43,2,1400,0
30,5,576.91998,1
41,3,580,1
54,3,1153,0
44,3,880,1
23,4,300,0
47,3,1000,1
71,1,1300,1
53,2,1557,0
42,4,1789.6,0
72,4,673.07001,1
31,5,1153.84,1
53,5,1346,1
39,3,840,1
60,5,1538,1
26,2,350,0
48,4,360,1
60,4,1538.46,1
47,2,1730.76,1
37,2,450,1
58,2,1200,1
62,3,2884.6101,1
45,5,2307.6899,1
64,3,550,1
48,2,840,0
51,5,1750,1
59,2,800,1
43,3,900,1
28,5,875,1
51,3,1153,1
64,3,276.92001,1
58,5,2596.1499,1
26,4,730.76001,0
51,2,440,1
46,1,520,1
52,3,1406,0
43,1,880,0
53,4,2115,1
57,5,280.5,0
43,3,900,1
49,4,542.5,1
72,5,1923,1
36,5,2884.6101,1
64,3,1548.4,1
41,5,2307,1
43,4,1538.46,1
65,4,346,1
64,3,1807.6899,1
46,1,465.20001,1
25,4,1280,0
49,1,1390,0
49,4,2884.6101,1
58,3,1376,1
45,3,1845,1
54,2,1200,0
35,4,1500,1
56,4,2884.6101,1
46,5,2000,1
43,3,450,1
28,3,692.29999,1
38,5,1000,1
59,1,600,1
42,4,2115,0
36,5,700,1
49,5,2115,1
56,3,575,0
55,2,500,0
42,2,837,1
36,2,1057,0
52,2,700,0
28,3,576.91998,0
34,3,285,1
